comment_text,video_id,likes,replies
"This video is really informative! I've been looking for a good explanation of this topic for ages.",dQw4w9WgXcQ,245,3
"I can't believe I've never seen this before. Definitely subscribing to this channel!",dQw4w9WgXcQ,182,2
"The explanation at 3:45 was particularly helpful. Thanks for taking the time to make this!",dQw4w9WgXcQ,97,1
"I disagree with some of the points made here. I think there's more to consider regarding this topic.",dQw4w9WgXcQ,42,5
"First time watching your content and I'm already impressed. Great work!",dQw4w9WgXcQ,76,0
"Anyone else watching this in 2023? Still relevant content!",dQw4w9WgXcQ,312,8
"I've been following this channel for years and the quality just keeps getting better.",dQw4w9WgXcQ,189,2
"The production value of this video is amazing. What camera are you using?",dQw4w9WgXcQ,54,1
"I learned so much from this video. Please make more content like this!",dQw4w9WgXcQ,128,3
"This is exactly what I needed to understand the concept. Thanks for explaining it so clearly.",dQw4w9WgXcQ,203,4
"Love the examples you used to illustrate the main points. Really helps to visualize the concepts.",dQw4w9WgXcQ,87,1
"As someone who works in this field, I can confirm that this information is accurate and well-presented.",dQw4w9WgXcQ,165,2
"The editing in this video is top notch. How long did it take you to make this?",dQw4w9WgXcQ,71,3
"I've shared this with all my colleagues. It's such a valuable resource!",dQw4w9WgXcQ,93,0
"I have a question about what you mentioned at 5:20. Could you elaborate on that point?",dQw4w9WgXcQ,29,1
"This content is so underrated. You deserve way more subscribers!",dQw4w9WgXcQ,217,4
"I've been watching your videos for months now, and they've really helped me improve my skills.",dQw4w9WgXcQ,134,2
"The way you explained complex concepts in simple terms is truly impressive.",dQw4w9WgXcQ,182,3
"This is hands down the best tutorial I've found on this subject. Thank you!",dQw4w9WgXcQ,276,5
"I found a few errors in your explanation, but overall the content is great.",dQw4w9WgXcQ,32,7
"Just discovered your channel today. Going to binge watch all your videos now!",dQw4w9WgXcQ,148,1
"The animations really help to visualize the process. Great work on those!",dQw4w9WgXcQ,97,2
"I appreciate how you took the time to address common misconceptions about this topic.",dQw4w9WgXcQ,124,0
"This video finally helped me understand what I've been struggling with for months.",dQw4w9WgXcQ,209,3
"I like how you provide both the theoretical background and practical applications.",dQw4w9WgXcQ,77,1
"You explained this so much better than my professor did in an entire semester.",dQw4w9WgXcQ,318,6
"The sound quality could be better, but the content is excellent.",dQw4w9WgXcQ,41,2
"I'm grateful for creators like you who share knowledge freely online.",dQw4w9WgXcQ,186,3
"This video convinced me to finally start my own project. Thanks for the inspiration!",dQw4w9WgXcQ,132,1
"Your enthusiasm for this subject really comes through. It makes the video so engaging!",dQw4w9WgXcQ,95,0
"I've watched this video three times now and I notice new details every time.",dQw4w9WgXcQ,157,2
"The resources you linked in the description are incredibly helpful. Thank you!",dQw4w9WgXcQ,88,1
"I have a background in this field and I'm impressed by how accurately you presented the information.",dQw4w9WgXcQ,103,2
"This is exactly what I was looking for! You've saved me hours of research.",dQw4w9WgXcQ,224,4
"I showed this to my team at work and now we're implementing your suggestions.",dQw4w9WgXcQ,117,2
"The comparison between different approaches was particularly insightful.",dQw4w9WgXcQ,83,1
"I've been stuck on this problem for weeks and your video just solved it for me.",dQw4w9WgXcQ,196,3
"Your explanation is clear, concise, and easy to follow. Perfect for beginners!",dQw4w9WgXcQ,143,2
"I appreciate how you didn't oversimplify the topic while still making it accessible.",dQw4w9WgXcQ,79,1
"This channel deserves more recognition. The quality of content is outstanding.",dQw4w9WgXcQ,231,5
"I'm impressed by how much information you packed into a relatively short video.",dQw4w9WgXcQ,112,2
"The practical examples really help to understand how to apply these concepts.",dQw4w9WgXcQ,98,1
"I've been subscribed for years and you never disappoint. Another great video!",dQw4w9WgXcQ,172,3
"This video answered questions I didn't even know I had about the subject.",dQw4w9WgXcQ,127,2
"The visuals in this video are exceptional. They really enhance the learning experience.",dQw4w9WgXcQ,86,1
"I'm teaching a class on this subject and I'll definitely be sharing this video with my students.",dQw4w9WgXcQ,156,2
"Your passion for this topic is contagious. Now I'm interested in learning more about it!",dQw4w9WgXcQ,108,0
"This is such a comprehensive overview. I feel like I understand the basics now.",dQw4w9WgXcQ,193,3
"I've been following tutorials all day and yours is by far the most helpful.",dQw4w9WgXcQ,137,2
"The step-by-step approach makes even the complex parts easy to understand.",dQw4w9WgXcQ,84,1 